comment,source,arrogance_label,category
ওর জন্মতো নাস্তিকের ঘরে,News portal,Non-arrogant,
"যখন সমস্যায় পড়েন তখন ঠিকি ""আল্লাহ"" কে স্বরণ করেন।আবার যখন ভাবে থাকেন তখন চোখে যা দেখেন না তা বিশ্বাস করেন না।বাতাস তো দেখেন না বিশ্বাস কইরেন না।এখন দেখতেছেন জনপ্রিয়তার কপালে ঝাটা আর জুতা জুটবে তখনই আল্লাহর কাছে মাফ চাওয়া।বাহ বাহ।তালি হবে।এভরিবডি মেইক সাম নয়েজ।",Facebook,Arrogant,Mixed / Other Arrogance
কুত্তার বাচ্চা ফটোগ্রাফার আরে হালারপুত আরেকটু জুম কইরা তুল্লি না ক্যান??,YouTube,Non-arrogant,
ছবিটা জোস,Facebook,Non-arrogant,
"তুই যদি কোন ভুল করে থাকিস?বাহ"" তুই তো নিজেই প্রমান করে দিলে তুই নাস্তিক।কারন তুই এখনো সিউর না যে, তুই ভুল করছিস কিনা!",YouTube,Non-arrogant,
সারা দেশে আন্দোলন চাই,News portal,Non-arrogant,
ফলোনী,YouTube,Non-arrogant,
"তোর মতো ছাগলরা তোর কথা সোনে,,, ছাগল দিয়ে যদি হালচাষ করাযেতো তাহলে মানুষ গরু কিনতোনা।",YouTube,Arrogant,Contempt & Condescension
ছিছি শালা লুচ্চা,News portal,Non-arrogant,
এই শালারে জদি পাইতাম তাহলে মনের শ্বাধ মিটাইতাম শালা তর বাফ কয়টা তুই কি জানিশ তর মা ও মনেহয় জানে না,News portal,Non-arrogant,
"আল্লাহ তোমার কাছে বিচার দিলাম,,,এই চাপা টাপা কবির যেন আমাদের দেশের চোরা চালান বাহিরে প্রচার না করে।",Facebook,Non-arrogant,
ঐ পতিতার ঘরের পতিতা। তুরে কি তুর বাপে জম্ম দিছে নাকি পথের কুত্তায়? নাকি তুর মারে হাজারও লোকে চুইদা জম্ম দিছে??? শালি বেইশ্যা.... যদি তুই তুর বাপের মেয়ে হয়ে থাকিস তুই তুর মা বাবার ঐরাতের ভিডিও আপলোড দে!!! আর না পারলে বল তুই আসলেই জারজ। কারন এটিও তুই দেখিস নি,YouTube,Arrogant,Contempt & Condescension
সাবাশ বাগের বাচ্চা হিরো আলম,YouTube,Arrogant,Contempt & Condescension
তুই নাস্তিক এটাই....,YouTube,Non-arrogant,
এই সব নাস্তিকের জন্য মুখের ভাষা নষ্ট করি লাব নাই।তসলিমা নাসরিন যেমন এই দেশ টিকতে পারে নাই।শেষপর্যন্ত বেইশ্যা উপাদি পাইচে ঠীক তুমি ও মাগি উপাদি পাইলে।তুদের এই দেশে থাকার কোন অধিকার নাই।এটা মুসলিম দেশ।এখানে কোন নাস্তিকের স্থান হবে না।সবার কাছে অনুরোধ সবাই আজ থেকে এই বেইশ্যার সব চ্যানেল বন্দ্ধ করে দেন।,YouTube,Arrogant,Knowledge & Moral Superiority
