comment,source,arrogance_label,category
He was born into an atheist household.,News portal,Non-arrogant,
"When you're in trouble, you remember ""God"". When you think, you don't believe what you don't see. When you see the wind, you don't believe. When you see the popularity of shoes and shoes, you ask God for forgiveness.",Facebook,Arrogant,Mixed / Other Arrogance
"Why don't you take a little zoom in, you son of a bitch photographer?",YouTube,Non-arrogant,
"That's the picture, Jose.",Facebook,Non-arrogant,
"If you've made a mistake, you've proven yourself to be an atheist, because you're still not sure if you're wrong!",YouTube,Non-arrogant,
I want a nationwide movement.,News portal,Non-arrogant,
Flowers,YouTube,Non-arrogant,
"If goats like you listened to you, people wouldn't buy cows.",YouTube,Arrogant,Contempt & Condescension
I'm such a piece of shit.,News portal,Non-arrogant,
The prostitute in that whore's house. Did you give birth to your father or to a street dog? Or did you kill thousands of people who gave birth to chicks?,YouTube,Arrogant,Contempt & Condescension
"You're an atheist, that's all.",YouTube,Non-arrogant,
"I don't want to spoil the language for these atheists. Just like Taslima Nazarin, this country didn't survive. You and Maggi got the right to live in this country. It's a Muslim country. There will be no place for atheists.",YouTube,Arrogant,Knowledge & Moral Superiority
"You're gonna sue the Facebook authorities for sexual harassment, all of you, in this motherfucker's name!",Facebook,Arrogant,Mixed / Other Arrogance
You're going crazy.,News portal,Non-arrogant,
What do you think of Safa as Newton and what does she think of an atheist as an atheist?,YouTube,Non-arrogant,
"You're an atheist, you've got a curse on your hair. It's a hadith in the Qur'an.",YouTube,Arrogant,Knowledge & Moral Superiority
"The country is ruined today because of these crazy people, they can talk themselves into making pictures again, three times a member stands up, it can't happen at once.",News portal,Non-arrogant,
"Go ahead, brother.",YouTube,Non-arrogant,
Why didn't you tell me to fuck up my first house?,YouTube,Non-arrogant,
"Na'jubillah, you're a disbeliever, woman, to deceive Islam, you're the devil of the beautiful woman of the last resort.",YouTube,Non-arrogant,
"Hero Alam, I'm telling you, if you have a picture on YouTube, name a good one.",YouTube,Non-arrogant,
"Atheist, you're not a Muslim.",News portal,Arrogant,Knowledge & Moral Superiority
Where's the stupid girl?,News portal,Non-arrogant,
The new atheist emerged in Bangladesh last night in a live message from a viewer who asked him: Do you believe in the afterlife?Because your lifestyle is so disturbing.The answer is no. I don't believe in the afterlife because I don't believe in what I haven't seen.,Facebook,Arrogant,Knowledge & Moral Superiority
How did Kuldeep and Vax become such good players!,News portal,Non-arrogant,
"This asshole is a crazy group of people who make movies with these uniforms, and the directors think that making movies with these heroes will do well on the market.",YouTube,Non-arrogant,
"You've been dancing all year, and now you're here for the screen.",YouTube,Non-arrogant,
"Brother, you should stop spoiling the government first and put some oil in your coat!",YouTube,Arrogant,Contempt & Condescension
I'm looking forward to the whole song.,YouTube,Non-arrogant,
"You're the daughter of ten fathers in my mind, you atheist witch.",YouTube,Non-arrogant,
The Creator gives me what I want.,AI,Arrogant,Superiority & Self-Importance
The brave hero of Bengal Alm will be one step ahead of the world tomorrow.,YouTube,Non-arrogant,
"I'll wait and see how it goes, but I think it'll be good from the beginning.",YouTube,Non-arrogant,
You're crazy. Where have you been?,News portal,Non-arrogant,
What's the matter?,YouTube,Non-arrogant,
He has disbelieved.,News portal,Non-arrogant,
I'd look prettier if the ass was back.,Facebook,Non-arrogant,
"Mashallah, it's nice to see the four of you together, I pray everyone is well, inshaAllah.",Facebook,Non-arrogant,
Sala's the first light and no one's gonna live up to all the bullshit.,YouTube,Non-arrogant,
