comment_bn,comment_en,source,arrogance_label,category
ওর জন্মতো নাস্তিকের ঘরে,He was born into an atheist household.,News portal,Non-arrogant,
"যখন সমস্যায় পড়েন তখন ঠিকি ""আল্লাহ"" কে স্বরণ করেন।আবার যখন ভাবে থাকেন তখন চোখে যা দেখেন না তা বিশ্বাস করেন না।বাতাস তো দেখেন না বিশ্বাস কইরেন না।এখন দেখতেছেন জনপ্রিয়তার কপালে ঝাটা আর জুতা জুটবে তখনই আল্লাহর কাছে মাফ চাওয়া।বাহ বাহ।তালি হবে।এভরিবডি মেইক সাম নয়েজ।","When you're in trouble, you remember ""God"". When you think, you don't believe what you don't see. When you see the wind, you don't believe. When you see the popularity of shoes and shoes, you ask God for forgiveness.",Facebook,Arrogant,Mixed / Other Arrogance
কুত্তার বাচ্চা ফটোগ্রাফার আরে হালারপুত আরেকটু জুম কইরা তুল্লি না ক্যান??,"Why don't you take a little zoom in, you son of a bitch photographer?",YouTube,Non-arrogant,
ছবিটা জোস,"That's the picture, Jose.",Facebook,Non-arrogant,
"তুই যদি কোন ভুল করে থাকিস?বাহ"" তুই তো নিজেই প্রমান করে দিলে তুই নাস্তিক।কারন তুই এখনো সিউর না যে, তুই ভুল করছিস কিনা!","If you've made a mistake, you've proven yourself to be an atheist, because you're still not sure if you're wrong!",YouTube,Non-arrogant,
সারা দেশে আন্দোলন চাই,I want a nationwide movement.,News portal,Non-arrogant,
ফলোনী,Flowers,YouTube,Non-arrogant,
"তোর মতো ছাগলরা তোর কথা সোনে,,, ছাগল দিয়ে যদি হালচাষ করাযেতো তাহলে মানুষ গরু কিনতোনা।","If goats like you listened to you, people wouldn't buy cows.",YouTube,Arrogant,Contempt & Condescension
ছিছি শালা লুচ্চা,I'm such a piece of shit.,News portal,Non-arrogant,
এই শালারে জদি পাইতাম তাহলে মনের শ্বাধ মিটাইতাম শালা তর বাফ কয়টা তুই কি জানিশ তর মা ও মনেহয় জানে না,"I'd have been in this shit, and I'd have been in this shit, and I'd have been in this shit, and I'd have been in this shit, and I'd have been in this shit, and I don't know how much shit you know, and I don't think you know what you know.",News portal,Non-arrogant,
"আল্লাহ তোমার কাছে বিচার দিলাম,,,এই চাপা টাপা কবির যেন আমাদের দেশের চোরা চালান বাহিরে প্রচার না করে।",God has judged you not to let this squabbling poet preach our country's robbery.,Facebook,Non-arrogant,
ঐ পতিতার ঘরের পতিতা। তুরে কি তুর বাপে জম্ম দিছে নাকি পথের কুত্তায়? নাকি তুর মারে হাজারও লোকে চুইদা জম্ম দিছে??? শালি বেইশ্যা.... যদি তুই তুর বাপের মেয়ে হয়ে থাকিস তুই তুর মা বাবার ঐরাতের ভিডিও আপলোড দে!!! আর না পারলে বল তুই আসলেই জারজ। কারন এটিও তুই দেখিস নি,The prostitute in that whore's house. Did you give birth to your father or to a street dog? Or did you kill thousands of people who gave birth to chicks?,YouTube,Arrogant,Contempt & Condescension
সাবাশ বাগের বাচ্চা হিরো আলম,"The child of the Savash Bagh, the hero alm.",YouTube,Arrogant,Contempt & Condescension
তুই নাস্তিক এটাই....,"You're an atheist, that's all.",YouTube,Non-arrogant,
এই সব নাস্তিকের জন্য মুখের ভাষা নষ্ট করি লাব নাই।তসলিমা নাসরিন যেমন এই দেশ টিকতে পারে নাই।শেষপর্যন্ত বেইশ্যা উপাদি পাইচে ঠীক তুমি ও মাগি উপাদি পাইলে।তুদের এই দেশে থাকার কোন অধিকার নাই।এটা মুসলিম দেশ।এখানে কোন নাস্তিকের স্থান হবে না।সবার কাছে অনুরোধ সবাই আজ থেকে এই বেইশ্যার সব চ্যানেল বন্দ্ধ করে দেন।,"I don't want to spoil the language for these atheists. Just like Taslima Nazarin, this country didn't survive. You and Maggi got the right to live in this country. It's a Muslim country. There will be no place for atheists.",YouTube,Arrogant,Knowledge & Moral Superiority
ফেইসবুক কর্তৃপক্ষের কাছে সেক্সুয়াল হ্যারামেন্টের মামলা করে দাও সবাই এই মা** নামে.!,"You're gonna sue the Facebook authorities for sexual harassment, all of you, in this motherfucker's name!",Facebook,Arrogant,Mixed / Other Arrogance
তোর পাগলের মারে চূদি,You're going crazy.,News portal,Non-arrogant,
কি বলব সাফা নিজেরে নিউটন মনে করে আর কেমন যেনো নাস্তিক নাস্তিক লাগে,What do you think of Safa as Newton and what does she think of an atheist as an atheist?,YouTube,Non-arrogant,
আপনি নিজেই তো নাস্তিক আপনার একটা চুল একটা শাপ হবে এটা হাদিসের কথা কুরআনে আছে নর নারীর পর্দা করা ফরজ আপনি তো নিজেই পর্দা করেননা এটা তো কুরআনের বাহিরে চলা আর যে কুরআনের বাহিরে চলে সেতো বড় নাস্তিক.... Shamima akter,"You're an atheist, you've got a curse on your hair. It's a hadith in the Qur'an.",YouTube,Arrogant,Knowledge & Moral Superiority
এসব পাগলের জন্য দেশটা আজ ধ্বংস হয়ে গেল। নিজেই কথা বলতে পারেন আবার ছবি তৈরি করছে। তিনবার মেম্বার দাঁড়িয়েছে  একবারে হতে পারে না।,"The country is ruined today because of these crazy people, they can talk themselves into making pictures again, three times a member stands up, it can't happen at once.",News portal,Non-arrogant,
এখন সুবিধা খুজতেছে দয়া করে কখন সামনে পরিছ না জেলে জাবো তারপরও জুতা তর কপালে মারুম,"Looking for a benefit, please don't ever wear a face like that. I'll go to jail and still kick your shoes in the face.",YouTube,Non-arrogant,
এগিয়ে যাও ভাই ❤️,"Go ahead, brother.",YouTube,Non-arrogant,
সপ্নীল প্রিতম বাড়ির ঘর কেনো বাল ছিড়তে না বললি?,Why didn't you tell me to fuck up my first house?,YouTube,Non-arrogant,
তোমার বিশ্বাস নিয়া তুমি চোদাও,Take your faith and fuck.,YouTube,Non-arrogant,
"নাউজুবিল্লাহ, তুই তো কাফের, ছিঃ নারী,ইসলামকে ধুঁকা দেয়ার জন্য ,তোরাই শেষ জবানার সুন্দরী নারী রূপের সয়তান।","Na'jubillah, you're a disbeliever, woman, to deceive Islam, you're the devil of the beautiful woman of the last resort.",YouTube,Non-arrogant,
হিরো আলম ভাই আপনাকে বলছি আপনার ইউটিউব এ কি কোন ছবি আছে দেখি বলেন তো ভালো একটা ছবি নাম বলেন তো,"Hero Alam, I'm telling you, if you have a picture on YouTube, name a good one.",YouTube,Non-arrogant,
আলহামদুলিল্লাহ ভাই ♥️,Alhamdullilah brother ♥️,YouTube,Non-arrogant,
এই পেজ নাস্তিকদের সমর্থন করে।।। please leave this page,This page supports atheists. Please leave this page.,News portal,Non-arrogant,
আচ্ছা আমাদের বাংলাদেশে না কেন জানি তোর মত নাস্তিক কে অভিনেত্রী হওয়ার সুযোগ দেই আমি তো কিছু বুঝতে পারতেছি না তোর মতো অভিনেত্রী দের জন্য বাংলাদেশের মানুষরা বাংলাদেশের সিনেমা চলচ্চিত্র নাটক কৌতুক লাইভ শো ইত্যাদি থেকে মন উঠে যাবে,"Well, I don't know why we in Bangladesh should give an atheist like you the opportunity to become an actress. I don't understand why people in Bangladesh would be interested in actresses like you.",News portal,Arrogant,Knowledge & Moral Superiority
নাস্তিক  তুমি মুসলমান  নও।,"Atheist, you're not a Muslim.",News portal,Arrogant,Knowledge & Moral Superiority
ফালতু মেয়ে কোথাকার,Where's the stupid girl?,News portal,Non-arrogant,
নতুন নাস্তিকের উদয় হল বাংলাদেশেগতকাল লাইভে তাকে একজন দর্শক ম্যাসেজে প্রশ্ন করেছিলোদর্শক-আপু আপনি কি পরকালে বিশ্বাস রাখেন।কারন আপনার লাইফ স্টাইল খুবই উদ্বিগ্নসাফা উত্তর-না আমি পরকালে বিশ্বাস করি না কারন যেইটা আমি দেখেনি সে জিনিস কেন বিশ্বাস করব।তাই আমি পরকাল বিশ্বাস করি নাএই নাস্তিকের এই মুসলিম দেশে জায়গা হতে পারে না।আমরা তাকে সব কিছু থেকে বঞ্চিত করতে চাই যতক্ষন সে তওবা না করবে।।,The new atheist emerged in Bangladesh last night in a live message from a viewer who asked him: Do you believe in the afterlife?Because your lifestyle is so disturbing.The answer is no. I don't believe in the afterlife because I don't believe in what I haven't seen.,Facebook,Arrogant,Knowledge & Moral Superiority
কুলদিপ আর ওয়াকস কবে এতো ভালো প্লেয়ার হয়ে গেলো!!!,How did Kuldeep and Vax become such good players!,News portal,Non-arrogant,
এই শালাটা সব পাগলের দল এই বদলী মুনী দিয়ে ফ্লিম বানায় কে দেখে।পরিচালকরা মনে করে এই হিরো আলম দিয়ে ছবি বানাইলে মাকেটে ভালো চলিবে। মানুষের লুচি বলতে কথা আছে।,"This asshole is a crazy group of people who make movies with these uniforms, and the directors think that making movies with these heroes will do well on the market.",YouTube,Non-arrogant,
"সারা বছর ন্যান্টা ড্যান্স দিয়া,এখন আইছো পর্দা করতে -_-","You've been dancing all year, and now you're here for the screen.",YouTube,Non-arrogant,
ভাই তুমি আগে সরকারের চামচামি করা ছাড়!আর নিজের চর্কায় তেল লাগাও!,"Brother, you should stop spoiling the government first and put some oil in your coat!",YouTube,Arrogant,Contempt & Condescension
আকরাম ০১৭২৭৪২১৫৭৫,I'm going to get a copy of this.,YouTube,Non-arrogant,
অনেক ভাল্লাগছে..পুরো গানটার অপেক্ষায় রইলাম।,I'm looking forward to the whole song.,YouTube,Non-arrogant,
"তুই আমার মনে দশ বাপের এক মেয়ে,নাস্তিক মাগি","You're the daughter of ten fathers in my mind, you atheist witch.",YouTube,Non-arrogant,
"আমি যা চাই, সৃষ্টিকর্তাও তা আমাকে দেন।",The Creator gives me what I want.,AI,Arrogant,Superiority & Self-Importance
বাংলার সাহসী হিরো আলম আগামীতে ওয়ার্ল্ড বুকে একধাপ এগিয়ে থাকবে ইনশাল্লাহ,The brave hero of Bengal Alm will be one step ahead of the world tomorrow.,YouTube,Non-arrogant,
আমিও দেখতেছি একটু অপেক্ষা করেন পরে আপনাকে জানাচ্ছি কেমন হলো তবে প্রথম থেকে ভালো লাগছে আমি মনেকরি শেষটুকু ভালো হবে...,"I'll wait and see how it goes, but I think it'll be good from the beginning.",YouTube,Non-arrogant,
পাগলা তুমি কোখায় ছিলা আজকে তুমি ঠিকমত মাল খেয়েছো,You're crazy. Where have you been?,News portal,Non-arrogant,
হুম,What's the matter?,YouTube,Non-arrogant,
"তনু হত্যার প্রতিবাদে মানববন্ধন, সারাদেশে তোলপাড় <URL>","Humanitarian strikes against Tanu's murder, nationwide protests",YouTube,Non-arrogant,
সে কাফের হয়ে গেছে,He has disbelieved.,News portal,Non-arrogant,
দেত পাগল,I'm going crazy.,News portal,Non-arrogant,
বা* টা পিছনে থাকলে আরও সুন্দ্রী লাগতো আপিটাকে,I'd look prettier if the ass was back.,Facebook,Non-arrogant,
"মাশাল্লাহ চার জনকে একসাথে  দেখে ভালো লেগেছে, দোয়া করি সবাই ভালো থাকবেন ইনশাল্লাহ।","Mashallah, it's nice to see the four of you together, I pray everyone is well, inshaAllah.",Facebook,Non-arrogant,
সালা প্রথমআলো আর মানুষ পাইলো না লাইভ দিতো যতসব ফালতু।,Sala's the first light and no one's gonna live up to all the bullshit.,YouTube,Non-arrogant,
"কি চিপায় পইরা এই অবস্হা!!পাবলিক আর আগের মতো দুচবে না আপনারে,একটু উপরে উঠলে আপনারা নিজেদের যে কি ভাবেন আল্লাহ্ জানে,ও আপনি তো আবার নাস্তিক, মনে নাই এসব বুজবেন না,বিচার বা করবে কে?পরকাল ত মানেন না।পাও আলাপ বাদ দিয়ে জনসম্মুখে মাপ চাইয়া,কলেমা পইড়া আইসেন।","The public will no longer look at you like they did before. If you get up and think that God knows what you think, you are an atheist again. You don't think you understand this, you don't judge or you don't listen.",Facebook,Arrogant,Knowledge & Moral Superiority
নটি মাগী  এখন ও নিজের ভুল বুজতে  পারছে না ।  আবার জিগায়  যদি ভুল করে থাকি? আমাদের ask করে। চুতমারানি কত্ত বড় হারামি,The actress still can't figure out what she's doing wrong.,YouTube,Non-arrogant,
প্রভার মত তোমার দুধেরও একই অবস্থা। কতই টিপানি খাইলে এইরম হয় বলবে আমাকে জানতে চাই খাংকি মাগি।,"Your milk is the same as Prover's, so how many syringes you take will tell me how much you want to know.",Facebook,Non-arrogant,
"কোরানে ও বাস্তবে নাস্তিক বলে কোন কথা নেই,কারণ ফেরাউন নিজেই  যখন নীল নদীতে ডুবে মরার সময় তাকে রক্ষা  করার জন আল্লাহর নিকট প্রার্থনা করেছিলেন।","There is no such thing as an atheist in the Qur'an, for Pharaoh himself prayed to God to save him when he drowned in the Nile.",News portal,Arrogant,Knowledge & Moral Superiority
এতো সহজ জিনিসও পারছ না,You can't do anything that simple.,AI,Non-arrogant,
"করোনা ভাইরাস নাকি গুজব, হালার পু হালা কই কি।","The coronavirus is a rumor, what's the matter?",YouTube,Non-arrogant,
খুব সুন্দর হয়েছে,It's very nice.,YouTube,Non-arrogant,
পতিতা আর নাস্তিক এর মধ্যে কোন তপাত নাই!!,There's no difference between a whore and an atheist!,News portal,Non-arrogant,
এই নাস্তিক কে বাংলাদেশ থেকে তারিয়ে দেওয়া হক।,This atheist has the right to be expelled from Bangladesh.,News portal,Non-arrogant,
তুমিতো নাস্তিক তাই।,You are an atheist.,YouTube,Non-arrogant,
হাইরে মানুষ কিভাবে পারেন আপনারা এইসব নোংরামি করতে এতো জগন্ন পাপ করতে তা-ও একজন আলেম কে নিয়ে। ভূলে যাবেন না একদিন আল্লাহর নিকট আপনাকে জবাবদিহি করতে হবে। আল্লাহ আমাদের হেদায়েত করুন। আমিন,"How can you, O man, commit such filth and sin as this world does? Do not forget that one day you will have to answer to God. God guide us. Amen.",Facebook,Arrogant,Mixed / Other Arrogance
